first_column,Joe Biden,Lincoln Chafee,Hillary Clinton,Martin O'Malley,Lawrence Lessig,Bernie Sanders,Jim Webb
Joe Biden,0,1.69,48.5,0,0.22,46.91,2.68
Lincoln Chafee,6.55,0,22.7,3.36,0,37.31,30.08
Hillary Clinton,18.41,2.29,0,0,0,77.44,1.86
Martin O'Malley,0,24.19,24.19,0,0,51.62,0
Lawrence Lessig,10.99,22.94,0,0,0,66.08,0
Bernie Sanders,18.9,4.72,70.32,0.72,0.97,0,4.37
Jim Webb,8.82,31.13,16.7,2.25,2.73,38.37,0
